i,j,score
37,15,9
15,37,9
37,16,6
16,37,6
37,17,10
17,37,10
37,18,7
18,37,7
37,19,8
19,37,8
37,20,5
20,37,5
37,21,9
21,37,9
37,22,9
22,37,9
37,23,6
23,37,6
37,24,7
24,37,7
37,25,7
25,37,7
37,26,6
26,37,6
37,27,8
27,37,8
37,28,7
28,37,7
37,29,9
29,37,9
37,30,8
30,37,8
37,31,7
31,37,7
37,32,7
32,37,7
37,33,14
33,37,14
37,34,7
34,37,7
37,35,7
35,37,7
37,36,8
36,37,8
37,37,0
38,0,108
0,38,108
38,1,116
1,38,116
38,2,45
2,38,45
38,3,104
3,38,104
38,4,105
4,38,105
38,5,46
5,38,46
38,6,98
6,38,98
38,7,21
7,38,21
38,8,18
8,38,18
38,9,117
9,38,117
38,10,78
10,38,78
38,11,41
11,38,41
38,12,68
12,38,68
38,13,67
13,38,67
38,14,108
14,38,108
38,15,99
15,38,99
38,16,34
16,38,34
38,17,107
17,38,107
38,18,87
18,38,87
38,19,62
19,38,62
38,20,17
20,38,17
38,21,116
21,38,116
38,22,100
22,38,100
38,23,38
23,38,38
38,24,46
24,38,46
38,25,49
25,38,49
38,26,27
26,38,27
38,27,109
27,38,109
38,28,66
28,38,66
38,29,96
29,38,96
38,30,61
30,38,61
38,31,108
31,38,108
38,32,69
32,38,69
38,33,109
33,38,109
38,34,60
34,38,60
38,35,52
35,38,52
38,36,70
36,38,70
38,37,7
37,38,7
38,38,0
39,0,135
0,39,135
39,1,153
1,39,153
39,2,45
2,39,45
39,3,126
3,39,126
39,4,143
4,39,143
39,5,56
5,39,56
39,6,128
6,39,128
39,7,24
7,39,24
39,8,22
8,39,22
39,9,169
9,39,169
39,10,94
10,39,94
39,11,52
11,39,52
39,12,82
12,39,82
39,13,96
13,39,96
39,14,150
14,39,150
39,15,133
15,39,133
39,16,40
16,39,40
39,17,133
17,39,133
39,18,109
18,39,109
39,19,78
19,39,78
39,20,14
20,39,14
39,21,158
21,39,158
39,22,145
22,39,145
39,23,60
23,39,60
39,24,65
24,39,65
39,25,56
25,39,56
39,26,38
26,39,38
39,27,149
27,39,149
39,28,84
28,39,84
39,29,121
29,39,121
39,30,78
30,39,78
39,31,164
31,39,164
39,32,91
32,39,91
39,33,141
33,39,141
39,34,69
34,39,69
39,35,71
35,39,71
39,36,77
36,39,77
39,37,8
37,39,8
39,38,107
38,39,107
39,39,0
40,0,104
0,40,104
40,1,109
1,40,109
40,2,43
2,40,43
40,3,91
3,40,91
40,4,98
4,40,98
40,5,43
5,40,43
40,6,86
6,40,86
40,7,22
7,40,22
40,8,16
8,40,16
40,9,110
9,40,110
40,10,72
10,40,72
40,11,41
11,40,41
40,12,55
12,40,55
40,13,66
13,40,66
40,14,98
14,40,98
40,15,87
15,40,87
40,16,36
16,40,36
40,17,80
17,40,80
40,18,84
18,40,84
40,19,59
19,40,59
40,20,12
20,40,12
40,21,109
21,40,109
40,22,104
22,40,104
40,23,38
23,40,38
40,24,52
24,40,52
40,25,47
25,40,47
40,26,25
26,40,25
40,27,97
27,40,97
40,28,60
28,40,60
40,29,81
29,40,81
40,30,54
30,40,54
40,31,95
31,40,95
40,32,72
32,40,72
40,33,102
33,40,102
40,34,57
34,40,57
40,35,55
35,40,55
40,36,55
36,40,55
40,37,7
37,40,7
40,38,73
38,40,73
40,39,113
39,40,113
40,40,0
41,0,109
0,41,109
41,1,108
1,41,108
41,2,40
2,41,40
41,3,90
3,41,90
41,4,97
4,41,97
41,5,40
5,41,40
41,6,93
6,41,93
41,7,22
7,41,22
41,8,19
8,41,19
41,9,114
9,41,114
41,10,67
10,41,67
41,11,45
11,41,45
41,12,55
12,41,55
41,13,69
13,41,69
41,14,97
14,41,97
