i,j,score
55,21,132
55,22,121
55,23,40
55,24,45
55,25,44
55,26,20
55,27,112
55,28,57
55,29,91
55,30,71
55,31,98
55,32,84
55,33,117
55,34,52
55,35,58
55,36,75
55,37,8
55,38,70
55,39,90
55,40,66
55,41,69
55,42,68
55,43,82
55,44,133
55,45,61
55,46,33
55,47,37
55,48,78
55,49,67
55,50,83
55,51,81
55,52,44
55,53,107
55,54,46
56,0,99
56,1,103
56,2,39
56,3,99
56,4,94
56,5,39
56,6,82
56,7,24
56,8,17
56,9,109
56,10,70
56,11,36
56,12,60
56,13,64
56,14,87
56,15,98
56,16,35
56,17,84
56,18,75
56,19,60
56,20,13
56,21,110
56,22,98
56,23,36
56,24,39
56,25,39
56,26,26
56,27,98
56,28,45
56,29,98
56,30,58
56,31,98
56,32,71
56,33,106
56,34,53
56,35,52
56,36,58
56,37,7
56,38,68
56,39,90
56,40,63
56,41,65
56,42,63
56,43,96
56,44,114
56,45,62
56,46,45
56,47,35
56,48,66
56,49,52
56,50,80
56,51,75
56,52,48
56,53,93
56,54,43
56,55,75
57,0,34
57,1,34
57,2,20
57,3,34
57,4,38
57,5,16
57,6,33
57,7,12
57,8,20
57,9,38
57,10,26
57,11,20
57,12,28
57,13,26
57,14,33
57,15,30
57,16,16
57,17,31
57,18,31
57,19,33
57,20,10
57,21,36
57,22,37
57,23,17
57,24,26
57,25,19
57,26,13
57,27,38
57,28,23
57,29,34
57,30,33
57,31,37
57,32,31
57,33,37
57,34,26
57,35,29
57,36,26
57,37,7
57,38,28
57,39,35
57,40,27
57,41,31
57,42,28
57,43,36
57,44,30
57,45,31
57,46,22
57,47,20
57,48,29
57,49,23
57,50,39
57,51,34
57,52,22
57,53,37
57,54,34
57,55,33
57,56,33
58,0,81
58,1,85
58,2,32
58,3,71
58,4,69
58,5,34
58,6,68
58,7,19
58,8,16
58,9,84
58,10,55
58,11,35
58,12,43
58,13,56
58,14,78
58,15,70
58,16,26
58,17,70
58,18,65
58,19,53
58,20,12
58,21,86
58,22,87
58,23,41
58,24,47
58,25,34
58,26,24
58,27,76
58,28,50
58,29,65
58,30,44
58,31,85
58,32,55
58,33,77
58,34,46
58,35,36
58,36,54
58,37,6
58,38,62
58,39,86
58,40,56
58,41,61
58,42,52
58,43,73
58,44,84
58,45,49
58,46,32
58,47,26
58,48,58
58,49,40
58,50,88
58,51,71
58,52,39
58,53,78
58,54,42
58,55,58
58,56,51
58,57,27
59,0,96
59,1,103
59,2,43
59,3,83
59,4,92
59,5,35
59,6,87
59,7,15
59,8,14
59,9,112
59,10,64
59,11,36
59,12,68
59,13,60
59,14,91
59,15,88
59,16,39
59,17,83
59,18,72
59,19,58
59,20,17
59,21,106
59,22,95
59,23,33
59,24,38
59,25,41
59,26,16
59,27,97
59,28,64
59,29,77
59,30,53
59,31,82
59,32,75
59,33,105
59,34,51
59,35,48
59,36,68
59,37,8
59,38,72
59,39,81
59,40,60
59,41,61
59,42,59
59,43,76
59,44,104
59,45,51
59,46,32
59,47,34
59,48,75
59,49,61
59,50,76
59,51,72
59,52,41
59,53,97
59,54,41
59,55,76
59,56,60
59,57,25
59,58,52
60,0,159
60,1,161
60,2,57
60,3,144
60,4,141
60,5,52
60,6,128
60,7,27
60,8,17
60,9,176
60,10,98
60,11,53
60,12,87
60,13,77
60,14,146
60,15,136
60,16,49
60,17,132
60,18,108
60,19,88
60,20,14
60,21,172
60,22,148
60,23,50
60,24,54
60,25,55
60,26,34
60,27,153
60,28,80
